lotID,blockID,lotArea,floorArea,tcp,rf,hdmfMax,type,status
1,1,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
2,1,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Reserved
3,1,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
4,1,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
5,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
6,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
7,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
8,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
9,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
10,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
11,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
12,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
13,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
14,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
15,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
16,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
17,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
18,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
19,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
20,1,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
21,2,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
22,2,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
23,2,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
24,2,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Reserved
25,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
26,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
27,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
28,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
29,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
30,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
31,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
32,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
33,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
34,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
35,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
36,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
37,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
38,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
39,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
40,2,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
41,3,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
42,3,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
43,3,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
44,3,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
45,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
46,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
47,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
48,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
49,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
50,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
51,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
52,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
53,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
54,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
55,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
56,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
57,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
58,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
59,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
60,3,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
61,4,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
62,4,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
63,4,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
64,4,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
65,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
66,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
67,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
68,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
69,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
70,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
71,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
72,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
73,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
74,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
75,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
76,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
77,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
78,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
79,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
80,4,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
81,5,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
82,5,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
83,5,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
84,5,100.00,81.00,5437250.00,50000.00,3600000.00,Callista,Available
85,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
86,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
87,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
88,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
89,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
90,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
91,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
92,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahInner,Available
93,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
94,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
95,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
96,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
97,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
98,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
99,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
100,5,50.00,54.00,3010000.00,30000.00,1700000.00,AlliyahOuter,Available
